scenario,date,origin,destination,ready,feasible,reason,out_trip,out_route,out_board_stop,out_board_sequence,out_departure,out_alight_stop,out_alight_sequence,out_arrival,shopping_start,shopping_end,back_trip,back_route,back_board_stop,back_board_sequence,back_departure,back_alight_stop,back_alight_sequence,back_arrival,origin_return,elapsed_minutes,initial_wait_minutes,store_open_wait_minutes,return_wait_minutes,bus_minutes,within_budget
shopping_60,2026-09-15,越前大野駅,kajiso_vio,08:30:00,True,,2+0+平日+2,2,1_1,1,09:15:00,25_0,17,09:38:00,09:43:00,10:43:00,2+0+毎日+3,2,25_0,17,11:19:00,1_1,24,11:32:00,11:34:00,184.0,43.0,0.0,31.0,36.0,False
shopping_60,2026-09-15,越前大野駅,kajiso_vio,09:00:00,True,,2+0+平日+2,2,1_1,1,09:15:00,25_0,17,09:38:00,09:43:00,10:43:00,2+0+毎日+3,2,25_0,17,11:19:00,1_1,24,11:32:00,11:34:00,154.0,13.0,0.0,31.0,36.0,True
shopping_60,2026-09-15,越前大野駅,kajiso_vio,09:30:00,True,,1+1+毎日+2,1,1_1,24,10:00:00,25_0,32,10:13:00,10:18:00,11:18:00,1+1+平日+3,1,25_0,32,11:56:00,1_1,48,12:19:00,12:21:00,171.0,28.0,0.0,33.0,36.0,True
shopping_60,2026-09-15,越前大野駅,kajiso_vio,10:00:00,True,,2+0+毎日+3,2,1_1,1,10:56:00,25_0,17,11:19:00,11:24:00,12:24:00,2+0+平日+4,2,25_0,17,13:23:00,1_1,24,13:36:00,13:38:00,218.0,54.0,0.0,54.0,36.0,False
shopping_60,2026-09-15,越前大野駅,kajiso_vio,10:30:00,True,,2+0+毎日+3,2,1_1,1,10:56:00,25_0,17,11:19:00,11:24:00,12:24:00,2+0+平日+4,2,25_0,17,13:23:00,1_1,24,13:36:00,13:38:00,188.0,24.0,0.0,54.0,36.0,False
shopping_60,2026-09-15,越前大野駅,kajiso_vio,11:00:00,True,,1+1+平日+3,1,1_1,24,11:43:00,25_0,32,11:56:00,12:01:00,13:01:00,2+0+平日+4,2,25_0,17,13:23:00,1_1,24,13:36:00,13:38:00,158.0,41.0,0.0,17.0,26.0,True
shopping_60,2026-09-15,越前大野駅,kajiso_vio,11:30:00,True,,1+1+平日+3,1,1_1,24,11:43:00,25_0,32,11:56:00,12:01:00,13:01:00,2+0+平日+4,2,25_0,17,13:23:00,1_1,24,13:36:00,13:38:00,128.0,11.0,0.0,17.0,26.0,True
shopping_60,2026-09-15,越前大野駅,kajiso_vio,12:00:00,True,,2+0+平日+4,2,1_1,1,13:00:00,25_0,17,13:23:00,13:28:00,14:28:00,2+0+毎日+5,2,25_0,17,15:48:00,1_1,24,16:01:00,16:03:00,243.0,58.0,0.0,75.0,36.0,False
shopping_60,2026-09-15,越前大野駅,kajiso_vio,12:30:00,True,,2+0+平日+4,2,1_1,1,13:00:00,25_0,17,13:23:00,13:28:00,14:28:00,2+0+毎日+5,2,25_0,17,15:48:00,1_1,24,16:01:00,16:03:00,213.0,28.0,0.0,75.0,36.0,False
shopping_60,2026-09-15,越前大野駅,kajiso_vio,13:00:00,True,,1+1+毎日+4,1,1_1,1,13:05:00,25_0,32,14:03:00,14:08:00,15:08:00,2+0+毎日+5,2,25_0,17,15:48:00,1_1,24,16:01:00,16:03:00,183.0,3.0,0.0,35.0,71.0,False
shopping_60,2026-09-15,越前大野駅,kajiso_vio,13:30:00,True,,1+1+毎日+4,1,1_1,24,13:50:00,25_0,32,14:03:00,14:08:00,15:08:00,2+0+毎日+5,2,25_0,17,15:48:00,1_1,24,16:01:00,16:03:00,153.0,18.0,0.0,35.0,26.0,True
shopping_60,2026-09-15,越前大野駅,kajiso_vio,14:00:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,越前大野駅,kajiso_vio,14:30:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,越前大野駅,kajiso_vio,15:00:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,越前大野駅,kajiso_vio,15:30:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,越前大野駅,kajiso_vio,16:00:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,結ステーション,kajiso_libre,08:00:00,True,,1+1+毎日+2,1,6_0,6,09:30:00,21_1,21,09:50:00,09:55:00,10:55:00,1+1+平日+3,1,21_1,21,11:28:00,6_0,29,11:47:00,11:49:00,229.0,88.0,0.0,28.0,39.0,False
shopping_60,2026-09-15,結ステーション,kajiso_libre,08:30:00,True,,1+1+毎日+2,1,6_0,6,09:30:00,21_1,21,09:50:00,09:55:00,10:55:00,1+1+平日+3,1,21_1,21,11:28:00,6_0,29,11:47:00,11:49:00,199.0,58.0,0.0,28.0,39.0,False
shopping_60,2026-09-15,結ステーション,kajiso_libre,09:00:00,True,,1+1+毎日+2,1,6_0,6,09:30:00,21_1,21,09:50:00,09:55:00,10:55:00,1+1+平日+3,1,21_1,21,11:28:00,6_0,29,11:47:00,11:49:00,169.0,28.0,0.0,28.0,39.0,True
shopping_60,2026-09-15,結ステーション,kajiso_libre,09:30:00,True,,2+0+平日+2,2,6_0,20,09:47:00,21_2,28,09:58:00,10:03:00,11:03:00,1+1+平日+3,1,21_1,21,11:28:00,6_0,29,11:47:00,11:49:00,139.0,15.0,0.0,20.0,30.0,True
shopping_60,2026-09-15,結ステーション,kajiso_libre,10:00:00,True,,1+1+平日+3,1,6_0,6,11:08:00,21_1,21,11:28:00,11:33:00,12:33:00,1+1+毎日+4,1,21_1,21,13:32:00,6_0,29,13:54:00,13:56:00,236.0,66.0,0.0,54.0,42.0,False
shopping_60,2026-09-15,結ステーション,kajiso_libre,10:30:00,True,,1+1+平日+3,1,6_0,6,11:08:00,21_1,21,11:28:00,11:33:00,12:33:00,1+1+毎日+4,1,21_1,21,13:32:00,6_0,29,13:54:00,13:56:00,206.0,36.0,0.0,54.0,42.0,False
shopping_60,2026-09-15,結ステーション,kajiso_libre,11:00:00,True,,1+1+平日+3,1,6_0,6,11:08:00,21_1,21,11:28:00,11:33:00,12:33:00,1+1+毎日+4,1,21_1,21,13:32:00,6_0,29,13:54:00,13:56:00,176.0,6.0,0.0,54.0,42.0,True
shopping_60,2026-09-15,結ステーション,kajiso_libre,11:30:00,True,,1+1+毎日+4,1,6_0,6,13:12:00,21_1,21,13:32:00,13:37:00,14:37:00,1+1+平日+5,1,21_1,21,16:02:00,6_0,29,16:13:00,16:15:00,285.0,100.0,0.0,80.0,31.0,False
shopping_60,2026-09-15,結ステーション,kajiso_libre,12:00:00,True,,1+1+毎日+4,1,6_0,6,13:12:00,21_1,21,13:32:00,13:37:00,14:37:00,1+1+平日+5,1,21_1,21,16:02:00,6_0,29,16:13:00,16:15:00,255.0,70.0,0.0,80.0,31.0,False
shopping_60,2026-09-15,結ステーション,kajiso_libre,12:30:00,True,,1+1+毎日+4,1,6_0,6,13:12:00,21_1,21,13:32:00,13:37:00,14:37:00,1+1+平日+5,1,21_1,21,16:02:00,6_0,29,16:13:00,16:15:00,225.0,40.0,0.0,80.0,31.0,False
shopping_60,2026-09-15,結ステーション,kajiso_libre,13:00:00,True,,1+1+毎日+4,1,6_0,6,13:12:00,21_1,21,13:32:00,13:37:00,14:37:00,1+1+平日+5,1,21_1,21,16:02:00,6_0,29,16:13:00,16:15:00,195.0,10.0,0.0,80.0,31.0,False
shopping_60,2026-09-15,結ステーション,kajiso_libre,13:30:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,結ステーション,kajiso_libre,14:00:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,結ステーション,kajiso_libre,14:30:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,結ステーション,kajiso_libre,15:00:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,結ステーション,kajiso_libre,15:30:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,結ステーション,kajiso_libre,16:00:00,False,no_outbound_bus,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,結ステーション,kajiso_vio,08:00:00,True,,1+1+毎日+2,1,6_0,6,09:30:00,25_0,32,10:13:00,10:18:00,11:18:00,2+0+平日+4,2,25_0,17,13:23:00,6_0,20,13:32:00,13:34:00,334.0,88.0,0.0,120.0,52.0,False
shopping_60,2026-09-15,結ステーション,kajiso_vio,08:30:00,True,,1+1+毎日+2,1,6_0,6,09:30:00,25_0,32,10:13:00,10:18:00,11:18:00,2+0+平日+4,2,25_0,17,13:23:00,6_0,20,13:32:00,13:34:00,304.0,58.0,0.0,120.0,52.0,False
shopping_60,2026-09-15,結ステーション,kajiso_vio,09:00:00,True,,1+1+毎日+2,1,6_0,6,09:30:00,25_0,32,10:13:00,10:18:00,11:18:00,2+0+平日+4,2,25_0,17,13:23:00,6_0,20,13:32:00,13:34:00,274.0,28.0,0.0,120.0,52.0,False
shopping_60,2026-09-15,結ステーション,kajiso_vio,09:30:00,True,,1+1+毎日+2,1,6_0,29,10:04:00,25_0,32,10:13:00,10:18:00,11:18:00,2+0+平日+4,2,25_0,17,13:23:00,6_0,20,13:32:00,13:34:00,244.0,32.0,0.0,120.0,18.0,False
shopping_60,2026-09-15,結ステーション,kajiso_vio,10:00:00,True,,1+1+毎日+2,1,6_0,29,10:04:00,25_0,32,10:13:00,10:18:00,11:18:00,2+0+平日+4,2,25_0,17,13:23:00,6_0,20,13:32:00,13:34:00,214.0,2.0,0.0,120.0,18.0,False
shopping_60,2026-09-15,結ステーション,kajiso_vio,10:30:00,True,,1+1+平日+3,1,6_0,6,11:08:00,25_0,32,11:56:00,12:01:00,13:01:00,2+0+平日+4,2,25_0,17,13:23:00,6_0,20,13:32:00,13:34:00,184.0,36.0,0.0,17.0,57.0,False
shopping_60,2026-09-15,結ステーション,kajiso_vio,11:00:00,True,,1+1+平日+3,1,6_0,6,11:08:00,25_0,32,11:56:00,12:01:00,13:01:00,2+0+平日+4,2,25_0,17,13:23:00,6_0,20,13:32:00,13:34:00,154.0,6.0,0.0,17.0,57.0,True
shopping_60,2026-09-15,結ステーション,kajiso_vio,11:30:00,True,,1+1+平日+3,1,6_0,29,11:47:00,25_0,32,11:56:00,12:01:00,13:01:00,2+0+平日+4,2,25_0,17,13:23:00,6_0,20,13:32:00,13:34:00,124.0,15.0,0.0,17.0,18.0,True
shopping_60,2026-09-15,結ステーション,kajiso_vio,12:00:00,True,,1+1+毎日+4,1,6_0,6,13:12:00,25_0,32,14:03:00,14:08:00,15:08:00,2+0+毎日+5,2,25_0,17,15:48:00,6_0,20,15:57:00,15:59:00,239.0,70.0,0.0,35.0,60.0,False
shopping_60,2026-09-15,結ステーション,kajiso_vio,12:30:00,True,,1+1+毎日+4,1,6_0,6,13:12:00,25_0,32,14:03:00,14:08:00,15:08:00,2+0+毎日+5,2,25_0,17,15:48:00,6_0,20,15:57:00,15:59:00,209.0,40.0,0.0,35.0,60.0,False
shopping_60,2026-09-15,結ステーション,kajiso_vio,13:00:00,True,,1+1+毎日+4,1,6_0,6,13:12:00,25_0,32,14:03:00,14:08:00,15:08:00,2+0+毎日+5,2,25_0,17,15:48:00,6_0,20,15:57:00,15:59:00,179.0,10.0,0.0,35.0,60.0,True
shopping_60,2026-09-15,結ステーション,kajiso_vio,13:30:00,True,,1+1+毎日+4,1,6_0,29,13:54:00,25_0,32,14:03:00,14:08:00,15:08:00,2+0+毎日+5,2,25_0,17,15:48:00,6_0,20,15:57:00,15:59:00,149.0,22.0,0.0,35.0,18.0,True
shopping_60,2026-09-15,結ステーション,kajiso_vio,14:00:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,結ステーション,kajiso_vio,14:30:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,結ステーション,kajiso_vio,15:00:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,結ステーション,kajiso_vio,15:30:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,結ステーション,kajiso_vio,16:00:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,下庄小学校,kajiso_libre,08:00:00,True,,1+1+毎日+2,1,9_1,9,09:33:00,21_1,21,09:50:00,09:55:00,10:55:00,2+0+毎日+3,2,21_2,28,11:47:00,9_2,40,12:02:00,12:04:00,244.0,91.0,0.0,47.0,32.0,False
shopping_60,2026-09-15,下庄小学校,kajiso_libre,08:30:00,True,,1+1+毎日+2,1,9_1,9,09:33:00,21_1,21,09:50:00,09:55:00,10:55:00,2+0+毎日+3,2,21_2,28,11:47:00,9_2,40,12:02:00,12:04:00,214.0,61.0,0.0,47.0,32.0,False
shopping_60,2026-09-15,下庄小学校,kajiso_libre,09:00:00,True,,1+1+毎日+2,1,9_1,9,09:33:00,21_1,21,09:50:00,09:55:00,10:55:00,2+0+毎日+3,2,21_2,28,11:47:00,9_2,40,12:02:00,12:04:00,184.0,31.0,0.0,47.0,32.0,False
shopping_60,2026-09-15,下庄小学校,kajiso_libre,09:30:00,True,,1+1+平日+3,1,9_1,9,11:11:00,21_1,21,11:28:00,11:33:00,12:33:00,2+0+平日+4,2,21_2,28,13:54:00,9_2,40,14:09:00,14:11:00,281.0,99.0,0.0,76.0,32.0,False
