specification,hagibis_mask,placebo_code,pre_rmspe,opening_gap_log,late_gap_log
primary_hagibis_recovery,recovery,21,0.05213749705218891,0.06695976281944116,0.035373052232452566
primary_hagibis_recovery,recovery,22,0.08439828277408618,-0.045154335216980535,-0.14233543672371984
primary_hagibis_recovery,recovery,23,0.03583104417970593,0.04788953694331699,-0.030935300169025126
primary_hagibis_recovery,recovery,24,0.06788346532068898,-0.017892182950890678,-0.10757874149124344
primary_hagibis_recovery,recovery,25,0.05664949169977715,0.14816038655686636,-0.0558125433514536
primary_hagibis_recovery,recovery,26,0.11270750413521427,-0.09895424149629495,0.07636568887443303
primary_hagibis_recovery,recovery,27,0.058023436049408135,0.05941124471893211,0.2608374423973557
primary_hagibis_recovery,recovery,28,0.036809596687387626,-0.007151162605198991,-0.11139247886137421
primary_hagibis_recovery,recovery,29,0.2222059366322279,-0.0034474601435210417,0.04579757621286981
primary_hagibis_recovery,recovery,30,0.07230376321938077,0.008392777555011222,0.04566784437320973
primary_hagibis_recovery,recovery,31,0.08796465584304479,-0.16655345879999484,-0.08290306232679587
primary_hagibis_recovery,recovery,32,0.07333003554366535,0.14965175376916484,0.017043269861278312
primary_hagibis_recovery,recovery,35,0.04125351751852626,0.00910759135487993,-0.22421837123828375
primary_hagibis_recovery,recovery,36,0.18848887104692827,-0.1322023657711222,-0.14278439127733655
primary_hagibis_recovery,recovery,37,0.05508987534633908,0.11240189882606622,0.10641426119595473
primary_hagibis_recovery,recovery,39,0.09144735527235216,-0.15996090157393628,-0.15320487041789443
primary_hagibis_recovery,recovery,40,0.037965058931289535,-0.05630868135797318,0.03843047906633873
primary_hagibis_recovery,recovery,41,0.10287535419817004,0.0941327183056675,-0.06510097468278793
primary_hagibis_recovery,recovery,42,0.06179463512882993,0.13896474960260008,-0.09472045707449143
primary_hagibis_recovery,recovery,44,0.06037724323491077,0.14484019385411084,0.08740666854412976
primary_hagibis_recovery,recovery,45,0.11084304929591292,-0.1612794562668034,0.035722371980297464
primary_hagibis_recovery,recovery,46,0.039484850166011234,-0.068210450203809,0.04401426938656883
primary_hagibis_recovery,recovery,47,0.140632414561094,-0.035506816403191976,0.2579600778560949
pre_50_months_hagibis_recovery,recovery,05,0.15576194258359818,-0.3321642515181189,-0.10125520147200252
pre_50_months_hagibis_recovery,recovery,06,0.0835523473581932,-0.06815138147892341,-0.1674400919740629
pre_50_months_hagibis_recovery,recovery,08,0.07823252167284953,0.014928387313140945,-0.0011318363377180148
pre_50_months_hagibis_recovery,recovery,09,0.07487585927433459,0.015095239941463667,-0.12060915214701809
pre_50_months_hagibis_recovery,recovery,10,0.06366984937863804,-0.08480006191190004,-0.08900392818990135
pre_50_months_hagibis_recovery,recovery,11,0.050130449372670645,0.013054079834778243,0.18749306227788315
pre_50_months_hagibis_recovery,recovery,12,0.10117617917279993,0.08845044361765098,0.0991943618919306
pre_50_months_hagibis_recovery,recovery,13,0.7172472759629088,0.6784382635691966,0.503039644422134
pre_50_months_hagibis_recovery,recovery,14,0.048610884959830895,0.014125050292174812,-0.019835862928540966
pre_50_months_hagibis_recovery,recovery,18,0.10304476139005124,-0.04345556531111949,0.033582158023234755
pre_50_months_hagibis_recovery,recovery,19,0.1659552446900876,0.16797333843911577,0.16789469856395445
pre_50_months_hagibis_recovery,recovery,21,0.05154543016313906,0.09087181871013161,0.10343544126935404
pre_50_months_hagibis_recovery,recovery,22,0.09355634108398457,-0.04897850942666082,-0.1375228681153661
pre_50_months_hagibis_recovery,recovery,23,0.03917147410838461,0.060046859183301216,-0.0393497555394746
pre_50_months_hagibis_recovery,recovery,24,0.07444886396421817,-0.05143731543264085,-0.1971909702533627
pre_50_months_hagibis_recovery,recovery,25,0.07499877846620293,0.12606715940713098,-0.04790694963891592
pre_50_months_hagibis_recovery,recovery,26,0.1107078230395075,-0.09554900006239997,0.07988948297588513
pre_50_months_hagibis_recovery,recovery,27,0.06825016458722825,0.08096909620240922,0.2903846611733603
pre_50_months_hagibis_recovery,recovery,28,0.03949681261281477,-0.02241966658829586,-0.14510781111270177
