target_code,target,ym,actual_log,synthetic_log,gap_log
17,Ishikawa,201705,13.583124425283131,13.433729078248389,0.14939534703474244
17,Ishikawa,201706,13.384373733099652,13.246200154970566,0.13817357812908604
17,Ishikawa,201707,13.475130696512045,13.431641357778439,0.04348933873360572
17,Ishikawa,201708,13.762753034221202,13.709580752055057,0.05317228216614467
17,Ishikawa,201709,13.430318554695665,13.38484722012611,0.04547133456955521
17,Ishikawa,201710,13.598398778881783,13.438534895345544,0.15986388353623937
17,Ishikawa,201711,13.598647244607214,13.398257820535228,0.2003894240719859
17,Ishikawa,201712,13.35790969543558,13.29862000213424,0.05928969330134137
17,Ishikawa,201801,13.273263064189944,13.237920596920544,0.035342467269400046
17,Ishikawa,201802,13.31944217517319,13.280226263051738,0.03921591212145259
17,Ishikawa,201803,13.601661181686021,13.428161470734853,0.17349971095116778
17,Ishikawa,201804,13.52897449525907,13.337140384376085,0.19183411088298463
17,Ishikawa,201805,13.515188941966029,13.440955535535425,0.07423340643060428
17,Ishikawa,201806,13.460890643861678,13.303781710816445,0.1571089330452331
17,Ishikawa,201807,13.48023360670481,13.45103675387034,0.0291968528344686
17,Ishikawa,201808,13.832475830440293,13.748266495341818,0.08420933509847472
17,Ishikawa,201809,13.551492927440092,13.438003691718095,0.11348923572199787
17,Ishikawa,201810,13.670958662056286,13.479174071911272,0.19178459014501392
17,Ishikawa,201811,13.679060624826375,13.454846652941672,0.22421397188470316
17,Ishikawa,201812,13.461745661441627,13.37669775330338,0.0850479081382467
17,Ishikawa,201901,13.320722311895908,13.283995311618716,0.036727000277192445
17,Ishikawa,201902,13.374055512122954,13.346913787326812,0.02714172479614163
17,Ishikawa,201903,13.616876675678014,13.496621052060108,0.12025562361790598
17,Ishikawa,201904,13.560927937814684,13.461743141593367,0.09918479622131748
17,Ishikawa,201905,13.635210955641954,13.531339762477781,0.10387119316417248
17,Ishikawa,201906,13.406428918081568,13.335891102735768,0.07053781534579961
17,Ishikawa,201907,13.514310866111407,13.496150036627304,0.018160829484102692
17,Ishikawa,201908,13.824668495749039,13.7582025659969,0.06646592975213927
17,Ishikawa,201909,13.570351432592384,13.447712375676552,0.12263905691583155
17,Ishikawa,201910,13.585266860159757,13.47629787002382,0.10896899013593675
17,Ishikawa,201911,13.634719828855491,13.485569495834199,0.14915033302129288
17,Ishikawa,201912,13.44853993783325,13.363212741936929,0.08532719589632087
16,Toyama,201101,12.191923009925732,12.291590081969444,-0.09966707204371161
16,Toyama,201102,12.302836313962482,12.383774411241836,-0.08093809727935408
